dateTime_UTC,Wtemp_Inst,Flow_Inst,GH_Inst,SpecCond_Inst,DO_Inst,DO_percentsat,pH_Inst,nitrateNitrite,PAR,barom.pressure
2/1/2018 0:00,3.9,69.942496,1.624584,959,13.2,101,8.4,0.9,0.39,96.52217
2/1/2018 0:15,3.9,69.659328,1.621536,959,13.2,101,8.4,0.93,0.24,96.5418
2/1/2018 0:30,3.9,69.659328,1.621536,959,13.2,101,8.4,0.93,0.18,96.55161
2/1/2018 0:45,3.8,69.659328,1.621536,957,13.2,101,8.4,0.9,0.17,96.58106
2/1/2018 1:00,3.8,69.659328,1.621536,957,13.2,100,8.4,0.88,0.21,96.60068
2/1/2018 1:15,3.8,69.659328,1.621536,957,13.2,100,8.4,0.93,0.2,96.6105
2/1/2018 1:30,3.8,69.659328,1.621536,956,13.2,100,8.4,0.93,0.18,96.61704
2/1/2018 1:45,3.8,69.092992,1.618488,957,13.1,100,8.4,0.9,0.19,96.63012
2/1/2018 2:00,3.7,69.092992,1.618488,956,13.1,100,8.4,0.9,0.2,96.63994
2/1/2018 2:15,3.7,69.092992,1.618488,956,13.1,99,8.4,0.9,0.19,96.63012
2/1/2018 2:30,3.7,68.809824,1.61544,955,13.1,99,8.4,0.93,0.18,96.63994
2/1/2018 2:45,3.7,68.809824,1.61544,955,13.1,99,8.4,0.93,0.18,96.64157
2/1/2018 3:00,3.7,68.243488,1.612392,954,13,99,8.4,0.9,0.22,96.66938
2/1/2018 3:15,3.7,69.092992,1.618488,954,13,99,8.4,0.84,0.2,96.69882
2/1/2018 3:30,3.7,68.809824,1.61544,953,13,99,8.4,0.88,0.22,96.70863
2/1/2018 3:45,3.6,68.243488,1.612392,952,13,99,8.4,0.88,0.18,96.70863
2/1/2018 4:00,3.6,68.243488,1.612392,950,13,99,8.4,0.84,0.28,96.72825
2/1/2018 4:15,3.6,68.243488,1.612392,951,13,98,8.4,0.84,0.22,96.73807
2/1/2018 4:30,3.6,67.96032,1.609344,950,13,98,8.4,0.84,0.18,96.72825
2/1/2018 4:45,3.6,67.96032,1.609344,949,13,98,8.4,0.84,0.22,96.73316
2/1/2018 5:00,3.6,67.96032,1.609344,949,13,98,8.4,0.84,0.15,96.7577
2/1/2018 5:15,3.6,67.393984,1.606296,947,13,98,8.4,0.84,0.23,96.74788
2/1/2018 5:30,3.6,68.809824,1.61544,947,12.9,98,8.4,0.9,0.21,96.76097
2/1/2018 5:45,3.6,68.243488,1.612392,947,12.9,98,8.4,0.84,0.21,96.73807
2/1/2018 6:00,3.6,67.96032,1.609344,946,12.9,98,8.4,0.81,0.22,96.73153
2/1/2018 6:15,3.6,67.96032,1.609344,945,12.9,98,8.4,0.81,0.21,96.7397
2/1/2018 6:30,3.6,67.96032,1.609344,945,12.9,98,8.4,0.9,0.22,96.74788
2/1/2018 6:45,3.6,67.96032,1.609344,946,12.9,98,8.4,0.88,0.08,96.74298
2/1/2018 7:00,3.6,67.96032,1.609344,944,12.9,98,8.4,0.88,0.18,96.74461
2/1/2018 7:15,3.6,67.96032,1.609344,943,12.9,97,8.4,0.84,0.18,96.74788
2/1/2018 7:30,3.6,68.243488,1.612392,944,12.8,97,8.4,0.84,0.2,96.73807
2/1/2018 7:45,3.6,67.96032,1.609344,943,12.8,97,8.4,0.88,0.17,96.76751
2/1/2018 8:00,3.6,68.243488,1.612392,944,12.8,97,8.4,0.84,0.22,96.78714
2/1/2018 8:15,3.6,68.243488,1.612392,942,12.8,97,8.4,0.95,0.21,96.83293
2/1/2018 8:30,3.6,67.96032,1.609344,942,12.8,97,8.4,0.9,0.22,96.87545
2/1/2018 8:45,3.6,68.243488,1.612392,942,12.8,97,8.4,0.84,0.24,96.87054
2/1/2018 9:00,3.6,68.809824,1.61544,942,12.8,97,8.4,0.88,0.26,96.87545
2/1/2018 9:15,3.6,68.809824,1.61544,942,12.8,97,8.4,0.88,0.19,96.89672
2/1/2018 9:30,3.6,68.809824,1.61544,940,12.8,97,8.4,0.88,0.21,96.94087
2/1/2018 9:45,3.6,68.809824,1.61544,940,12.8,97,8.4,0.88,0.22,97.00139
2/1/2018 10:00,3.5,68.809824,1.61544,940,12.8,97,8.4,0.88,0.3,97.00302
2/1/2018 10:15,3.5,68.809824,1.61544,934,12.8,96,8.4,0.95,0.17,97.00302
2/1/2018 10:30,3.5,68.809824,1.61544,933,12.8,96,8.4,0.9,0.14,97.0439
2/1/2018 10:45,3.4,69.092992,1.618488,931,12.8,96,8.4,0.9,0.2,97.06353
2/1/2018 11:00,3.4,68.809824,1.61544,930,12.8,96,8.4,0.9,0.2,97.09951
2/1/2018 11:15,3.3,69.092992,1.618488,928,12.8,96,8.4,0.88,0.22,97.1502
2/1/2018 11:30,3.3,69.659328,1.621536,927,12.8,96,8.4,0.93,0.22,97.17147
2/1/2018 11:45,3.2,69.092992,1.618488,926,12.8,96,8.4,0.88,0.19,97.21889
2/1/2018 12:00,3.2,69.659328,1.621536,923,12.8,96,8.4,0.88,0.2,97.24833
2/1/2018 12:15,3.1,69.942496,1.624584,921,12.8,96,8.4,0.88,0.21,97.30066
2/1/2018 12:30,3,69.942496,1.624584,920,12.8,96,8.4,0.88,0.16,97.32519
2/1/2018 12:45,3,69.659328,1.621536,917,12.9,96,8.4,0.9,0.19,97.37261
2/1/2018 13:00,2.9,69.942496,1.624584,914,12.9,96,8.4,0.95,0.2,97.42494
2/1/2018 13:15,2.8,70.508832,1.627632,912,12.9,96,8.4,0.9,0.66,97.474
2/1/2018 13:30,2.8,71.075168,1.63068,910,12.9,96,8.4,0.93,4.06,97.51325
2/1/2018 13:45,2.7,70.508832,1.627632,907,12.9,96,8.4,0.84,17.88,97.53123
2/1/2018 14:00,2.6,71.358336,1.633728,906,13,96,8.4,0.81,26.38,97.59011
2/1/2018 14:15,2.6,71.075168,1.63068,904,13,96,8.4,0.9,78.81,97.64407
2/1/2018 14:30,2.5,71.075168,1.63068,901,13,96,8.4,0.93,59.37,97.67841
2/1/2018 14:45,2.5,71.358336,1.633728,900,13,96,8.4,0.9,73.66,97.73891
2/1/2018 15:00,2.4,71.358336,1.633728,899,13.1,96,8.4,0.88,240.5,97.76835
2/1/2018 15:15,2.4,71.924672,1.636776,898,13.1,96,8.4,0.84,215.45,97.78469
2/1/2018 15:30,2.3,71.924672,1.636776,898,13.2,96,8.4,0.77,363.46,97.84193
