"DateTime_CST","Date","Hour","Nitrate_mgNL","StdDev.Nitrate","StdErr.Nitrate"
2018-03-29 12:00:00,2018-03-29,12,0.2339935,0.00356735371108613,0.0025225
2018-03-29 13:00:00,2018-03-29,13,0.22233825,0.00486312666056177,0.00243156333028089
2018-03-29 14:00:00,2018-03-29,14,0.21698825,0.0016236837489692,0.000811841874484599
2018-03-29 15:00:00,2018-03-29,15,0.2157305,0.00217834256565246,0.00108917128282623
2018-03-29 16:00:00,2018-03-29,16,0.22643375,0.00763243134590806,0.00381621567295403
2018-03-29 17:00:00,2018-03-29,17,0.25420525,0.00178850875964678,0.000894254379823391
2018-03-29 18:00:00,2018-03-29,18,0.27162475,0.00240076951205233,0.00120038475602617
2018-03-29 19:00:00,2018-03-29,19,0.270675,0.00576440497073778,0.00288220248536889
2018-03-29 20:00:00,2018-03-29,20,0.2725765,0.00380499999999998,0.00190249999999999
2018-03-29 21:00:00,2018-03-29,21,0.29068125,0.0059098892474112,0.0029549446237056
2018-03-29 22:00:00,2018-03-29,22,0.3078805,0.00854505024365959,0.0042725251218298
2018-03-29 23:00:00,2018-03-29,23,0.3133,0.00435954087796714,0.00217977043898357
2018-03-30 00:00:00,2018-03-30,0,0.3027775,0.00492442575332396,0.00246221287666198
2018-03-30 01:00:00,2018-03-30,1,0.311386,0.00429506204844588,0.00214753102422294
2018-03-30 02:00:00,2018-03-30,2,0.31361875,0.00283021040148372,0.00141510520074186
2018-03-30 03:00:00,2018-03-30,3,0.3056465,0.00574929389867429,0.00287464694933714
2018-03-30 04:00:00,2018-03-30,4,0.296407,0.00217528128449327,0.00108764064224664
2018-03-30 05:00:00,2018-03-30,5,0.29354275,0.00374783727635019,0.0018739186381751
2018-03-30 06:00:00,2018-03-30,6,0.279879,0.0091862449346836,0.0045931224673418
2018-03-30 07:00:00,2018-03-30,7,0.27447925,0.00274089041189173,0.00137044520594587
2018-03-30 08:00:00,2018-03-30,8,0.258319,0.0018995555620548,0.000949777781027401
2018-03-30 09:00:00,2018-03-30,9,0.24125225,0.0063867345529621,0.00319336727648105
2018-03-30 10:00:00,2018-03-30,10,0.216045,0.00214795608272918,0.00107397804136459
2018-03-30 11:00:00,2018-03-30,11,0.198773333333333,0.00547007407018712,0.00315814873690972
2018-04-09 11:00:00,2018-04-09,11,0.194382,0.000886711903607915,0.000626999999999989
2018-04-09 12:00:00,2018-04-09,12,0.18592775,0.00767252198324211,0.00383626099162105
2018-04-09 13:00:00,2018-04-09,13,0.176229,0.00420891933873768,0.00210445966936884
2018-04-09 14:00:00,2018-04-09,14,0.174353,0.000721687836487033,0.000360843918243516
2018-04-09 15:00:00,2018-04-09,15,0.176853,0.000721687836487033,0.000360843918243516
2018-04-09 16:00:00,2018-04-09,16,0.1856165,0.00945314341017491,0.00472657170508745
2018-04-09 17:00:00,2018-04-09,17,0.206936,0.0088525063494282,0.0044262531747141
2018-04-09 18:00:00,2018-04-09,18,0.22643275,0.00634272214825779,0.0031713610741289
2018-04-09 19:00:00,2018-04-09,19,0.235255,0.00272484287008749,0.00136242143504374
2018-04-09 20:00:00,2018-04-09,20,0.2387255,0.00390784514363948,0.00195392257181974
2018-04-09 21:00:00,2018-04-09,21,0.25610425,0.00334882838965112,0.00167441419482556
2018-04-09 22:00:00,2018-04-09,22,0.266871,0.00496291090658161,0.0024814554532908
2018-04-09 23:00:00,2018-04-09,23,0.250096,0.00430330624830102,0.00215165312415051
2018-04-10 00:00:00,2018-04-10,0,0.2399885,0.00539516780709058,0.00269758390354529
2018-04-10 01:00:00,2018-04-10,1,0.23147225,0.00424268322134314,0.00212134161067157
2018-04-10 02:00:00,2018-04-10,2,0.222338,0.00452627713100586,0.00226313856550293
2018-04-10 03:00:00,2018-04-10,3,0.2254875,0.00653424591415618,0.00326712295707809
2018-04-10 04:00:00,2018-04-10,4,0.22233975,0.0071530622055639,0.00357653110278195
2018-04-10 05:00:00,2018-04-10,5,0.2349395,0.000630999999999993,0.000315499999999996
2018-04-10 06:00:00,2018-04-10,6,0.241566,0.00371715240473134,0.00185857620236567
2018-04-10 07:00:00,2018-04-10,7,0.236833,0.00508682998864059,0.0025434149943203
2018-04-10 08:00:00,2018-04-10,8,0.2220265,0.00887861496330743,0.00443930748165372
2018-04-10 09:00:00,2018-04-10,9,0.21101925,0.00822913771809254,0.00411456885904627
2018-04-10 10:00:00,2018-04-10,10,0.190831,0.00402762411354386,0.00232534986614918
